char,unicode,strokes,ink_density,stroke_width_proxy_px,median_h_run_px,median_v_run_px,ink_px,bbox_area
一,U+4E00,1,0.340618,28.723,25.000,33.000,37500,110094
乙,U+4E59,1,0.208292,80.796,96.000,68.000,151231,726054
二,U+4E8C,2,0.095562,47.749,76.000,30.000,59441,622017
十,U+5341,2,0.109269,45.056,70.000,29.000,95321,872352
人,U+4EBA,2,0.129302,85.697,68.000,108.000,112045,866536
口,U+53E3,3,0.232775,45.166,68.000,30.000,140104,601887
三,U+4E09,3,0.115255,46.797,73.000,30.000,87611,760149
土,U+571F,3,0.143230,46.249,69.000,31.000,119280,832785
日,U+65E5,4,0.277388,44.833,67.000,30.000,159766,575966
木,U+6728,4,0.189621,54.699,68.000,44.000,169151,892050
月,U+6708,4,0.222457,44.833,67.000,30.000,158318,711678
田,U+7530,5,0.306006,44.833,67.000,30.000,210685,688500
目,U+76EE,5,0.294272,45.166,68.000,30.000,179831,611104
永,U+6C38,5,0.193222,55.929,68.000,46.000,172339,891924
本,U+672C,5,0.200720,45.166,68.000,30.000,179803,895790
字,U+5B57,6,0.178233,45.913,68.000,31.000,156480,877953
年,U+5E74,6,0.196364,46.583,70.000,31.000,176655,899632
東,U+6771,8,0.267956,45.166,68.000,30.000,238776,891100
国,U+56FD,8,0.322796,45.574,67.000,31.000,256881,795800
明,U+660E,8,0.309381,43.818,64.000,30.000,251077,811545
書,U+66F8,10,0.290142,44.497,66.000,30.000,255824,881720
時,U+6642,10,0.291349,44.159,65.000,30.000,247908,850896
語,U+8A9E,14,0.286542,42.743,63.000,29.000,252567,881432
質,U+8CEA,15,0.298272,44.889,65.000,31.000,257406,862992
論,U+8AD6,15,0.325094,42.426,60.000,30.000,293960,904232
講,U+8B1B,17,0.353559,43.474,63.000,30.000,319349,903240
職,U+8077,18,0.378094,43.128,60.000,31.000,340103,899520
議,U+8B70,20,0.349835,43.474,63.000,30.000,312738,893958
競,U+7AF6,20,0.345257,43.128,62.000,30.000,308635,893928
鑑,U+9451,23,0.375541,44.788,59.000,34.000,346546,922792
鬱,U+9B31,29,0.397560,45.442,59.000,35.000,354653,892074
